    87/299       18G   0.02895   0.02482  0.002131    0.0559       184       640    0.8913    0.8108    0.8545    0.5846    0.5468   0.02895   0.02088  0.003236
    88/299       18G   0.02882    0.0248   0.00209   0.05571       203       640    0.8926    0.8072    0.8575    0.5753    0.5482   0.02921   0.02093  0.003191
    89/299       18G   0.02872   0.02515   0.00214   0.05601       147       640    0.9086    0.8045    0.8563     0.584    0.5517   0.02884   0.02098  0.003432
    90/299       18G   0.02875   0.02477  0.002061   0.05558       111       640    0.8888    0.8138    0.8574    0.5783    0.5539   0.02869   0.02098  0.003372
    91/299       18G   0.02858   0.02422  0.002078   0.05488       225       640    0.9002    0.8229    0.8631    0.5807    0.5551   0.02859   0.02085  0.003353
    92/299       18G   0.02864   0.02453  0.002003   0.05517       152       640    0.8901     0.828    0.8648    0.5861    0.5554   0.02875   0.02085  0.003383
    93/299       18G    0.0287   0.02495  0.001978   0.05562       188       640    0.8928    0.8201    0.8632    0.5856    0.5543   0.02865   0.02084  0.003273
    94/299       18G   0.02834    0.0246  0.001988   0.05492       223       640    0.8931    0.8125    0.8592    0.5895    0.5535   0.02854   0.02097   0.00325
    95/299       18G   0.02831   0.02478  0.002073   0.05517       173       640     0.904    0.7982    0.8607    0.5963    0.5584    0.0286    0.0209  0.003432
    96/299       18G    0.0284   0.02424  0.002064   0.05471       152       640    0.8932    0.8171    0.8637    0.5976    0.5605   0.02851   0.02093  0.002717
    97/299       18G   0.02821   0.02428  0.002035   0.05452       163       640    0.8747    0.8298    0.8602    0.5903    0.5575   0.02864   0.02091  0.002654
    98/299       18G   0.02813   0.02434   0.00206   0.05453       186       640    0.8791    0.8184    0.8608    0.5894    0.5544   0.02863   0.02103  0.002767
    99/299       18G   0.02856   0.02429  0.002088   0.05493       180       640    0.8957    0.7962    0.8581    0.5841    0.5505   0.02857   0.02102  0.003003
   100/299       18G   0.02851   0.02448  0.002041   0.05503       132       640     0.891    0.8195    0.8618    0.5936    0.5573   0.02853   0.02105  0.002681
   101/299       18G    0.0283   0.02465  0.002118   0.05506       154       640    0.8865    0.8293    0.8625    0.5901    0.5552   0.02844   0.02099  0.003044
   102/299       18G   0.02805   0.02426  0.002104   0.05442       116       640    0.9027    0.8044    0.8627    0.5989    0.5641   0.02849   0.02093  0.003153
   103/299       18G   0.02814   0.02398  0.001983    0.0541       198       640    0.8941    0.8253     0.872    0.6037    0.5637   0.02846   0.02089  0.003142
   104/299       18G   0.02783   0.02435  0.002062   0.05424       142       640    0.8867     0.833    0.8678    0.6021    0.5636   0.02841   0.02099  0.003318
   105/299       18G   0.02755   0.02391  0.001953   0.05341       163       640    0.9027    0.8035    0.8691    0.6068     0.562   0.02833   0.02103   0.00299
   106/299       18G   0.02796   0.02485     0.002   0.05481       206       640     0.879    0.8244     0.865    0.6075    0.5632   0.02838   0.02103  0.003156
   107/299       18G    0.0273   0.02377  0.001887   0.05296       166       640    0.9087    0.8105    0.8645    0.6016     0.563   0.02838   0.02095  0.003046
   108/299       18G   0.02764   0.02434  0.001875   0.05385       213       640    0.9091    0.8053    0.8668    0.6079    0.5649   0.02844   0.02101  0.002761
   109/299       18G   0.02809   0.02371   0.00205   0.05385       152       640    0.8998    0.8056    0.8632    0.6054    0.5632    0.0283   0.02108  0.002569
   110/299       18G   0.02775    0.0243  0.001939   0.05399       123       640    0.8859    0.8254    0.8632    0.5897    0.5605   0.02825   0.02093  0.002954
   111/299       18G   0.02735   0.02376  0.001857   0.05297       146       640    0.9003    0.8193    0.8694    0.5946    0.5631   0.02828   0.02096  0.002667
   112/299       18G   0.02752   0.02395   0.00184   0.05331       126       640     0.904    0.8138    0.8707    0.5909     0.563   0.02826   0.02094  0.002634
   113/299       18G   0.02752    0.0244   0.00188    0.0538       252       640    0.8977    0.8324     0.869    0.6017    0.5681   0.02821   0.02093  0.002673
   114/299       18G   0.02723    0.0234  0.001922   0.05255       275       640    0.8933     0.833    0.8672    0.6036    0.5683   0.02822   0.02106  0.002682
